,event_type,strength_state
2775,shot-on-goal,5v5
2777,shot-on-goal,5v5
2781,missed-shot,5v5
2784,missed-shot,5v5
2786,shot-on-goal,5v5
2789,shot-on-goal,5v5
2790,shot-on-goal,5v5
2794,shot-on-goal,5v5
2798,missed-shot,5v5
2801,missed-shot,5v5
2802,missed-shot,5v5
2803,missed-shot,5v5
2811,missed-shot,5v5
2815,shot-on-goal,5v5
2817,shot-on-goal,5v5
2825,missed-shot,5v5
2829,shot-on-goal,5v5
2830,shot-on-goal,5v5
2832,shot-on-goal,5v5
2833,shot-on-goal,5v5
2834,shot-on-goal,5v5
2835,shot-on-goal,5v5
2837,missed-shot,5v5
2842,shot-on-goal,5v5
2848,shot-on-goal,5v5
2849,missed-shot,5v5
2850,shot-on-goal,5v5
2864,missed-shot,5v5
2867,shot-on-goal,5v4
2868,missed-shot,5v4
2869,missed-shot,5v4
2870,shot-on-goal,5v4
2871,missed-shot,5v4
2872,shot-on-goal,5v5
2873,missed-shot,5v5
2874,shot-on-goal,5v5
2878,shot-on-goal,5v4
2879,missed-shot,5v4
2880,shot-on-goal,5v4
2882,missed-shot,5v4
2890,shot-on-goal,5v5
2891,missed-shot,5v5
2892,missed-shot,5v5
2895,shot-on-goal,5v4
2896,missed-shot,5v4
2897,shot-on-goal,5v4
2900,shot-on-goal,5v4
2901,shot-on-goal,5v4
2903,shot-on-goal,5v4
2905,shot-on-goal,5v5
2908,shot-on-goal,5v5
2910,shot-on-goal,5v5
2912,shot-on-goal,5v5
2915,shot-on-goal,5v5
2919,shot-on-goal,5v5
2922,missed-shot,5v4
2925,shot-on-goal,5v4
2926,goal,4v5
2928,goal,5v5
2930,goal,5v5
2933,shot-on-goal,5v5
2935,shot-on-goal,5v5
2938,shot-on-goal,5v5
2940,shot-on-goal,5v5
2941,shot-on-goal,5v5
2944,goal,5v5
2948,shot-on-goal,5v5
2952,shot-on-goal,5v4
2953,shot-on-goal,5v4
2954,shot-on-goal,5v4
2955,missed-shot,5v4
2957,shot-on-goal,5v4
2958,goal,5v5
2962,shot-on-goal,5v5
2966,shot-on-goal,5v5
2971,shot-on-goal,5v5
2983,shot-on-goal,5v4
2986,missed-shot,5v4
2989,shot-on-goal,Other
